gene,IMR-90_NPC_siNC_1,IMR-90_NPC_siNC_2,IMR-90_NPC_siNC_3,IMR-90_NPC_siNC_4,IMR-90_NPC_siNC_5,IMR-90_NPC_siNC_6,IMR-90_NPC_siZCC_1,IMR-90_NPC_siZCC_2,IMR-90_NPC_siZCC_3,IMR-90_NPC_siZCC_4,IMR-90_NPC_siZCC_5,IMR-90_NPC_siZCC_6
AL122014.1,7,2,7,5,8,1,6,2,7,3,2,0
DCDC1,972,784,842,782,937,1155,510,661,733,545,473,680
CYCSP25,1,0,3,0,0,2,1,7,2,0,2,1
AL137804.1,0,0,2,0,0,0,0,0,0,2,5,0
DNAJC24,3463,3484,3372,2658,3606,3613,2620,3568,2894,2313,2393,3056
IMMP1L,937,1063,1036,758,1046,1021,790,883,743,624,791,832
ELP4,2890,3263,2855,2237,3237,3013,2449,3348,2534,2135,2306,2860
AC131571.1,17,23,25,19,19,13,16,19,17,10,12,23
PAX6,6667,8146,7402,5654,8381,7043,5623,7875,6397,5182,6179,6461
PAUPAR,268,295,245,156,292,246,231,320,252,246,243,250
AL035078.4,0,0,3,1,0,0,2,0,1,1,1,0
AL035078.1,0,0,0,0,0,0,0,0,0,0,0,0
AL035078.3,0,0,0,0,0,0,0,0,0,0,0,0
AL035078.2,1,0,0,1,0,0,0,0,1,1,0,2
EIF4A2P5,3,0,1,0,2,1,1,1,0,0,0,0
RCN1,8711,8914,9717,7093,9010,8960,6891,8609,7220,5924,6387,7790
AL078612.1,19,19,38,10,18,23,38,10,23,25,14,18
THEM7P,11,9,14,7,11,5,4,4,9,2,4,5
AL078612.2,0,0,2,0,1,0,1,0,0,0,0,0
WT1,30,20,28,56,38,38,12,27,21,18,18,24
WT1-AS,29,20,14,34,26,35,7,10,20,9,15,8
AL049692.6,0,0,0,0,0,0,0,0,0,0,0,0
AL049692.1,0,0,1,4,0,0,0,0,0,0,0,0
AL049692.5,0,0,0,0,0,0,0,0,0,0,0,0
AL049692.3,0,0,0,0,0,0,0,0,0,0,0,0
AL049692.2,0,0,0,0,0,0,0,0,0,0,0,0
AL049692.4,0,0,0,0,0,0,0,0,0,0,0,0
EIF3M,10688,11268,11887,8673,11812,10979,7915,10653,8582,7122,7726,9289
HNRNPA3P9,0,0,0,0,0,0,0,0,2,1,0,0
CCDC73,8,5,9,4,4,7,14,9,4,3,1,2
AL049714.1,1,2,3,2,1,2,2,0,2,0,0,1
PRRG4,13,6,13,9,10,11,10,10,8,5,10,13
QSER1,7581,7372,6528,5406,9353,8900,5996,8040,6061,5073,5481,6627
DEPDC7,178,112,140,137,133,175,99,114,109,62,81,108
TCP11L1,2383,2446,2259,2039,2542,2581,1814,2222,1824,1563,1721,1857
PIGCP1,6,5,4,5,6,10,8,3,2,0,8,4
LINC00294,2125,2324,2385,1753,2280,2217,1502,2005,1736,1337,1461,1621
CSTF3,5682,6163,6104,4464,6131,5931,4071,5277,4213,3417,3947,4540
CSTF3-DT,146,133,126,118,158,115,102,139,137,102,94,147
RPL29P23,0,1,1,0,0,0,1,0,0,0,0,0
AL136126.1,123,135,112,79,155,96,90,112,89,108,68,123
HIPK3,4910,4642,3975,3478,5700,5725,3676,4862,3858,3009,3340,4148
KIAA1549L,6354,7685,6510,5697,8483,7692,5006,6372,5137,4595,5410,4987
AL137161.1,29,24,27,20,23,21,14,17,21,12,18,17
AL133399.1,2,3,0,3,1,2,3,4,0,3,1,0
AL049629.1,11,10,4,1,5,5,5,7,5,6,9,6
C11orf91,20,24,14,34,29,24,13,11,16,11,9,13
AL049629.2,9,3,10,7,10,11,3,7,8,0,5,3
CD59,13214,12339,14439,11158,12056,13988,7945,10300,8912,6926,7559,10180
FBXO3,4981,5319,5122,4168,5484,5392,3464,4452,3454,2979,3434,3794
FBXO3-DT,0,1,0,1,2,0,0,0,0,0,0,0
AC113192.3,0,0,0,0,0,0,0,0,0,0,1,0
AC113192.2,0,0,0,0,0,0,0,0,1,0,0,0
LINC02722,0,0,0,0,0,0,0,0,0,0,0,0
AC113192.1,0,0,0,0,0,0,0,0,1,0,0,0
LINC02721,2,1,0,0,4,4,1,2,4,1,0,1
LMO2,1352,1189,1428,1104,1278,1295,913,1000,962,840,779,1191
AC132216.1,0,0,0,0,1,0,0,0,0,0,0,0
AC090469.1,35,29,21,16,17,25,11,20,15,13,9,23
CAPRIN1,51747,54988,54936,42435,57143,54624,38622,48842,40676,34524,37689,41965
NAT10,7191,7732,7573,6104,7912,7504,5794,7369,6382,5152,5703,6453
ABTB2,7642,9025,7995,5968,8695,7911,6580,7650,5920,4888,6069,6266
AL139174.1,16,13,16,7,24,12,10,11,18,8,11,14
AL035079.1,0,0,0,1,0,0,0,0,0,0,0,0
CIR1P3,0,1,0,0,0,0,0,0,0,0,0,0
CAT,7,5,6,16,12,9,5,10,11,11,7,12
ELF5,0,0,1,2,1,1,0,0,0,1,1,0
AL137224.1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02707,0,0,0,0,0,0,0,0,0,0,0,0
EHF,14,12,12,12,18,18,3,7,12,12,7,7
AC087783.1,677,784,712,460,797,754,473,678,498,421,495,543
AL359999.1,7,8,6,6,6,5,7,8,10,7,1,4
APIP,2537,2636,2625,2039,2544,2624,2003,2625,2149,1834,1897,2276
PDHX,4860,5219,5112,3895,5230,4866,3979,5148,4145,3494,3702,4664
MIR1343,0,0,0,0,0,1,1,0,1,0,0,1
AL356215.1,36,25,30,19,27,37,8,15,20,18,7,22
CD44,22943,17654,22048,18164,16964,25437,9780,13285,12599,8305,8358,14159
CD44-AS1,1,1,14,5,1,1,22,0,6,2,4,0
AL133330.1,84,68,64,51,78,104,29,43,42,31,24,51
SLC1A2,4296,4771,4314,3192,5628,4931,3406,4357,3039,2699,3404,3295
AL133330.2,0,0,0,1,0,1,0,0,0,0,0,0
AC090625.1,0,0,0,0,1,0,0,0,0,0,0,0
AC090625.2,6,1,6,4,3,3,2,4,0,2,1,5
PAMR1,127,160,128,94,158,142,145,185,127,120,132,143
AL135934.1,3,2,4,2,3,5,6,7,0,2,2,2
FJX1,18395,20494,20922,16444,21728,21323,17374,21315,18845,14531,16091,18732
AL138812.1,1,2,0,0,0,1,3,5,0,0,0,0
TRIM44,19666,20668,20912,16004,21575,20601,13900,18526,14726,11949,13778,15530
AC090692.2,6,6,5,8,4,5,5,4,3,4,5,0
KRT18P14,5,5,2,4,7,6,5,1,3,5,7,7
AC090692.3,5,4,1,0,3,5,2,2,1,1,0,5
AC090692.1,60,53,58,66,69,79,28,32,59,22,36,29
LDLRAD3,6524,6200,6653,5513,6238,7507,4267,5162,4892,3781,3976,5071
AL136146.1,0,0,0,0,0,0,0,0,0,0,0,1
AL136146.2,6,4,8,2,3,5,6,5,2,4,2,4
RPL12P31,0,0,0,0,0,0,0,0,0,0,0,0
MIR3973,0,1,3,0,1,4,0,2,1,1,1,0
AC129502.1,27,39,39,12,24,26,24,33,19,20,25,27
COMMD9,4761,5571,5783,4253,5676,5047,3965,4695,3899,3470,4034,4334
PRR5L,6788,7265,6635,5795,7080,6906,5679,6779,6333,5319,5482,6743
AC087277.1,0,0,0,0,0,0,0,0,0,0,0,0
AC087277.2,36,26,10,24,36,34,15,20,15,21,17,24
AC009656.1,0,0,0,0,0,1,0,0,0,0,0,0
TRAF6,5607,5644,5265,4049,6125,5744,4708,6097,5139,4177,4197,5625
AC061999.1,4,3,7,9,9,14,4,6,0,3,4,6
RAG1,187,175,149,130,196,177,162,155,164,132,105,186
RAG2,7,11,5,2,7,7,5,13,9,1,8,5
IFTAP,1882,1829,2054,1424,1894,1849,1386,1790,1502,1225,1320,1753
AC104042.1,2,3,5,7,2,5,8,5,7,4,2,3
AC061997.1,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP56,0,0,0,0,0,0,0,0,0,0,0,0
LINC02760,0,0,0,0,0,0,0,0,0,0,0,0
AC103798.1,0,0,0,0,0,0,0,0,0,0,0,0
LRRC6P1,1,1,0,0,0,0,0,0,0,0,0,0
AC021713.1,1,0,0,0,0,0,0,0,0,0,0,0
LINC02759,0,0,0,0,0,0,1,0,0,0,0,0
LINC01493,0,0,0,0,0,1,0,1,0,0,0,1
AC021723.2,20,0,0,0,2,1,0,0,0,0,0,0
AC021723.1,5,1,2,0,3,4,1,3,2,4,4,3
RNU6-99P,0,0,0,0,0,0,0,0,0,0,0,0
AC021749.1,0,0,0,0,0,0,0,0,0,0,0,0
AC021820.1,8,1,4,2,0,2,1,0,1,2,2,3
AC080100.1,435,464,403,305,433,449,341,373,275,279,273,322
LRRC4C,3452,3810,3615,2791,3902,3654,3172,3570,3048,2748,2848,3292
AC090720.1,6,7,23,12,13,14,4,7,1,9,6,5
RNU6-365P,2,4,2,3,1,3,0,5,8,4,2,1
AC090138.1,0,0,0,2,0,0,0,0,1,0,1,0
